'Número de página,'Clave,'Valor,'Confidence Score % (Key),'Confidence Score % (Value)
"'1","'Día","'28","'92.00522614","'92.00522614"
"'1","'Mes","'05","'92.58090973","'92.58090973"
"'1","'Año","'2025","'91.36521149","'91.36521149"
"'1","'Folio:","'","'89.30996704","'89.30996704"
"'1","'No. de Cliente:","'","'86.48385620","'86.48385620"
"'1","'Sucursal","'","'90.22250366","'90.22250366"
"'1","'Nombre del Ejecutivo","'","'91.71633911","'91.71633911"
"'1","'No. de Nómina","'","'91.69612885","'91.69612885"
"'1","'Zona/Región","'","'89.67474365","'89.67474365"
"'1","'Monto Solicitado","'$100,000,00","'94.53804016","'94.53804016"
"'1","'Cuenta Cliente","'","'89.65002441","'89.65002441"
"'1","'12","'NOT_SELECTED","'93.24018097","'92.43164063"
"'1","'18","'NOT_SELECTED","'93.11086273","'93.16406250"
"'1","'24","'SELECTED","'91.73509216","'87.69531250"
"'1","'36","'NOT_SELECTED","'89.39875031","'92.52929688"
"'1","'Nombre(s) (sin abreviaturas)","'Claudia","'94.09074402","'94.09074402"
"'1","'Apellido Paterno","'Gonzalez","'95.00243378","'95.00243378"
"'1","'Apellido Materno","'Reyes .","'94.58142853","'94.58142853"
"'1","'País de Nacimiento","'mexico","'95.77287292","'95.77287292"
"'1","'Nacionalidad","'Mexicana","'95.32240295","'95.32240295"
"'1","'Femenino","'SELECTED","'87.67807007","'79.49218750"
"'1","'Día","'","'90.21189880","'90.21189880"
"'1","'Mes","'","'91.28678894","'91.28678894"
"'1","'Año","'90","'90.68968964","'90.68968964"
"'1","'Masculino","'NOT_SELECTED","'94.25154114","'87.59765625"
"'1","'Asalariado","'SELECTED","'94.97474670","'88.72070313"
"'1","'Honorarios","'NOT_SELECTED","'93.84317780","'89.55078125"
"'1","'R.F.C. con homoclave","'GORC900101x25","'95.62225342","'95.62225342"
"'1","'CURP","'GORC900101MMN SRR06","'94.63606262","'94.63606262"
"'1","'Máximo grado de estudios","'licenuatura","'95.18606567","'95.18606567"
"'1","'Teléfono de Casa","'443 321 6514","'94.01793671","'94.01793671"
"'1","'Teléfono celular","'443 314 8781","'80.00000000","'80.00000000"
"'1","'E-mail","'Claudia.gonzale290@gmail.com","'95.55002594","'95.55002594"
"'2","'Sí","'NOT_SELECTED","'87.74380493","'89.30664063"
"'2","'No","'SELECTED","'89.60945892","'79.49218750"
"'1","'Tipo de Identificación","'pasaporte","'94.89886475","'94.89886475"
"'1","'Folio:","'G3545917","'94.57378387","'94.57378387"
